MA0004.1	Arnt
MA0433.2	YOX1
MA0434.2	YPR013C
MA0435.2	YPR015C
MA0436.2	YPR022C
MA0438.2	YRM1
MA0439.2	YRR1
MA0441.2	ZMS1
MA0266.2	ABF2
MA0272.2	ARG81
MA0273.2	ARO80
MA0267.2	ACE2
MA0278.2	BAS1
MA0279.3	CAD1
MA0280.2	CAT8
MA0281.3	CBF1
MA0282.2	CEP3
MA0284.3	CIN5
MA0285.2	CRZ1
MA0286.2	CST6
MA0351.2	DOT6
MA0292.2	ECM22
MA0293.2	ECM23
MA0294.2	EDS1
MA0420.2	ERT1
MA0295.2	FHL1
MA0296.2	FKH1
MA0268.2	ADR1
MA0300.2	GAT1
MA0301.2	GAT3
MA0302.2	GAT4
MA0303.3	GCN4
MA0305.2	GCR2
MA0306.2	GIS1
MA0308.2	GSM1
MA0309.2	GZF3
MA0269.2	AFT1
MA0310.2	HAC1
MA0312.3	HAP1
MA0314.3	HAP3
MA0316.2	HAP5
MA0317.2	HCM1
MA0270.2	AFT2
MA0319.2	HSF1
MA0325.2	LYS14
MA1433.2	msn-1
MA0929.2	NCU00019
MA1435.2	nit-4
MA1436.2	nuc-1
MA1437.2	wc-1
MA1432.2	cre-1
MA1876.1	Gsx
MA1890.1	Klf15
MA1893.1	Klf6-7-like
MA2109.1	Arid3
MA2110.1	Cdx
MA2111.1	HNF4
MA2112.1	Meis
MA2113.1	Pax2-5-8-a
MA2114.1	Pax3-7-like
MA2115.1	Pax6
MA2116.1	Pou4
MA1843.2	AP4
MA1844.2	Atbf
MA1845.2	Atoh7
MA1846.2	Brachyury
MA1847.2	Bsx
MA1848.2	Cebpg
MA1849.2	Creb1
MA1850.2	Dlx-b
MA1851.2	Dlx-c
MA1852.2	Emx
MA1853.2	Erf-a
MA1854.2	Etv1/4/5
MA1855.2	Fli-Erg-a
MA1856.2	Fli-Erg-b
MA1857.2	Fli-Erg-c
MA1858.2	Fos-b
MA1859.2	FoxA-a
MA1860.2	FoxA-b
MA1861.2	FoxB
MA1862.2	FoxD-b
MA1863.2	FoxE
MA1864.2	FoxF
MA1865.2	FoxG
MA1866.2	FoxI-a
MA1867.2	FoxI-b
MA1868.2	FoxI-c
MA1869.2	FoxK
MA1870.2	FoxL2
MA1871.2	FoxM
MA1872.2	FoxO
MA1873.2	FoxQ
MA1874.2	GATA-a
MA1875.2	GATA1/2/3
MA1877.2	Hes-b
MA1878.2	Hes-c
MA1879.2	Hex
MA1880.2	Hey
MA1881.2	Hmbox1
MA1882.2	Hnf1
MA1883.2	Hox1
MA1884.2	Hox3
MA1885.2	Hox4
MA1886.2	Hox5
MA1887.2	Hsf1-2-4
MA1888.2	Irf-b
MA1889.2	Isx
MA1891.2	Klf3/8/12
MA1892.2	Klf5-like
MA1894.2	large-Maf
MA1895.2	Lhx3/4
MA1896.2	Lmx-b
MA1897.2	Max
MA1898.2	Meox
MA1899.2	Mitf
MA1900.2	Mnx
MA1901.2	Msx
MA1902.2	NFkb
MA1903.2	Nk-1
MA1904.2	Nk-3
MA1905.2	Nkx3
MA1906.2	Noto
MA1907.2	Otp
MA1908.2	Otx
MA1909.2	Prop
MA1910.2	Rax
MA1911.2	Rel
MA1912.2	Six3/6
MA1913.2	small-Maf
MA1914.2	Snail
MA1915.2	SoxB1
MA1916.2	SoxB2
MA1917.2	SoxC
MA1918.2	SoxF
MA1919.2	Tbox-a
MA1920.2	Tbox-b
MA1921.2	Tbx15/18/22
MA1922.2	Tbx2/3
MA1923.2	Tcf3-4-12
MA1924.2	Tlx
MA1925.2	Uncx-b
MA1926.2	Usf
MA1927.2	YY1-2
MA0118.2	Macho-1
MA1407.2	bZIP14
